FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
255	0.0529718	0.0332697	0.0338345	0.000692456	0.0517438	0.0331967	0.0351736	1.63743e-05
256	0.0474549	0.0296671	0.0308939	0.000257997	0.0472059	0.0296886	0.0327877	1.57951e-05
257	0.0535715	0.0337616	0.0346165	0.000282734	0.0530297	0.0341834	0.0358368	1.69829e-05
258	0.0519561	0.0330614	0.0320999	0.000552596	0.0518263	0.0337152	0.0348802	1.69659e-05
259	0.0433256	0.0275758	0.0271388	0.000246139	0.043394	0.0286427	0.0287053	1.42493e-05
260	0.054142	0.0332009	0.0350706	0.000752154	0.0521242	0.0335747	0.0358362	1.63655e-05
261	0.057454	0.0362687	0.0366667	0.000402032	0.0586489	0.0370242	0.0402826	1.8278e-05
262	0.0511125	0.0318473	0.0321078	0.000418449	0.0509031	0.032971	0.0346077	1.5957e-05
263	0.0520342	0.0334839	0.0325014	0.000348353	0.05348	0.0353205	0.0350358	1.66383e-05
264	0.0568911	0.0369201	0.0354724	0.000311902	0.057649	0.037868	0.0384925	2.01142e-05
265	0.0444093	0.0284955	0.0278559	0.000259736	0.0445127	0.0295121	0.0295702	1.64584e-05
266	0.0558424	0.0367779	0.0351711	0.000257776	0.0558508	0.0372746	0.0365623	1.75827e-05
267	0.0549438	0.0338877	0.0364747	0.000436925	0.0519354	0.0338979	0.035352	1.91325e-05
268	0.0623613	0.0388042	0.0403249	0.00104725	0.0575872	0.0377969	0.0387108	1.85387e-05
269	0.0473026	0.0305097	0.0292214	0.000371598	0.0484926	0.0311508	0.032928	1.5572e-05
270	0.0461003	0.0296642	0.0290276	0.000265414	0.0444924	0.0300207	0.028642	1.57225e-05
271	0.0581359	0.0358531	0.037824	0.000485739	0.0579653	0.0380319	0.0389472	1.80564e-05
272	0.0557051	0.0341949	0.0351507	0.00106352	0.0537921	0.0354158	0.0359462	1.87052e-05
273	0.0479323	0.029329	0.0312512	0.000302898	0.0469303	0.0298428	0.0324295	1.60062e-05
274	0.0507739	0.0328553	0.032296	0.000217283	0.0505564	0.0340569	0.0329537	1.80464e-05
275	0.0689854	0.042948	0.0415899	0.00578228	0.0593844	0.0390273	0.039809	1.97532e-05
276	0.0576453	0.037045	0.0357323	0.00035491	0.0616866	0.039936	0.0415634	1.81299e-05
277	0.0596874	0.0370479	0.0379411	0.000562713	0.0584156	0.0383778	0.0389246	1.8869e-05
278	0.0617378	0.0386074	0.0402227	0.000493331	0.0634581	0.0410559	0.0434593	1.79001e-05
279	0.0564292	0.0347702	0.0359099	0.000426198	0.0542573	0.0350245	0.0366185	1.70481e-05
280	0.0411922	0.0249498	0.0273246	0.000223129	0.0419852	0.0261767	0.0293225	1.61699e-05
281	0.0479734	0.0298644	0.0304241	0.000524522	0.0488435	0.0320725	0.0328882	1.65927e-05
282	0.0500681	0.0319103	0.0312786	0.00031209	0.0495621	0.0332063	0.0322128	1.59242e-05
283	0.051805	0.0323487	0.0326639	0.000423275	0.0496471	0.0334479	0.0319252	1.61727e-05
