FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
128	0.0120848	0.321936	0.00816763	0.00747689	5.63678e-05	2.76591e-16	0.0115262	0.232487	0.00800384	0.00712853	2.70108e-06	4.84704e-05
129	0.00915008	0.0860941	0.00559808	0.00623988	4.86127e-06	2.68845e-16	0.00892249	0.0821796	0.00556408	0.00609347	1.26232e-06	3.42268e-05
130	0.0112705	0.350381	0.00679511	0.00784826	7.23706e-06	2.766e-16	0.0106448	0.356893	0.00687795	0.00724993	1.75684e-06	3.84841e-05
131	0.00781751	0.0529308	0.00498239	0.00506604	9.97847e-06	2.75625e-16	0.0080005	0.0830429	0.00516939	0.00549156	1.43828e-06	3.88052e-05
132	0.0116446	0.165521	0.0077148	0.00713681	1.3753e-05	2.88197e-16	0.011517	0.165489	0.00784546	0.00720529	3.82365e-06	3.84148e-05
133	0.0111723	0.300075	0.00729231	0.0069371	1.86909e-05	2.82766e-16	0.0105384	0.263305	0.00701898	0.00677529	2.17595e-06	4.70276e-05
134	0.0100182	0.0760945	0.00667086	0.00627967	8.44409e-06	2.8453e-16	0.00988411	0.0751123	0.0066884	0.00642652	6.25278e-07	4.40107e-05
135	0.010476	0.195886	0.00575107	0.00754571	1.3869e-05	2.79432e-16	0.00978982	0.139389	0.00625237	0.00679186	1.66568e-06	4.84248e-05
136	0.0109816	0.165231	0.00712403	0.00711786	1.58889e-05	2.80429e-16	0.0106134	0.166234	0.00729869	0.00690554	1.03413e-06	4.42384e-05
137	0.00851037	0.0790712	0.00520856	0.00585103	5.55401e-06	2.84512e-16	0.00817507	0.0781694	0.00520108	0.00572635	2.12227e-06	3.11074e-05
138	0.0116282	0.0734939	0.00747873	0.00736101	1.72278e-05	2.64817e-16	0.0116315	0.0601237	0.00727955	0.00792332	3.36722e-06	5.1899e-05
139	0.0112807	0.121234	0.00720461	0.00736544	1.2278e-05	2.94903e-16	0.0110002	0.108226	0.0075597	0.00706674	6.72842e-07	3.76384e-05
140	0.00870093	0.0559981	0.0052974	0.00593841	5.23445e-06	2.82925e-16	0.00910735	0.0543612	0.00574267	0.00629973	1.29883e-06	3.43959e-05
141	0.0125405	0.111745	0.00835266	0.00768998	5.48587e-05	3.04595e-16	0.0116369	0.106575	0.00854178	0.00682654	7.73689e-07	5.50657e-05
142	0.0108972	0.111234	0.00698517	0.00712092	1.85742e-05	2.89545e-16	0.0107415	0.10186	0.00739249	0.0070491	1.01684e-06	3.95877e-05
143	0.0124435	0.129809	0.00823218	0.00776906	2.51961e-05	2.87314e-16	0.0120865	0.105632	0.00826289	0.00792977	8.84033e-07	4.86864e-05
144	0.014635	0.193285	0.00825452	0.0105657	3.29996e-05	2.7434e-16	0.0141556	0.207924	0.00854095	0.0101855	1.3744e-06	4.63479e-05
145	1.49384	179.461	1.28926	0.746845	0.88274	2.82698e-16	201.29	24354.9	201.281	1.41907	71.7965	0.0168867
146	0.0161607	0.275756	0.0105283	0.0107473	2.79654e-05	2.82349e-16	0.0156516	0.245068	0.0105184	0.0102962	1.51503e-06	6.08692e-05
147	0.00952285	0.0608698	0.00697542	0.00555324	6.27544e-06	2.84578e-16	0.00937888	0.0649199	0.00692527	0.00560951	3.53153e-07	2.95886e-05
148	0.0100664	0.0464346	0.00657099	0.00638678	8.39928e-06	2.92139e-16	0.00982287	0.0522193	0.00627762	0.00673055	4.1266e-07	3.97083e-05
149	0.0139548	0.139163	0.00979244	0.00815281	1.0899e-05	2.65267e-16	0.0134663	0.148298	0.00967601	0.00795167	1.3297e-06	4.74001e-05
150	0.0105479	0.0635626	0.00728799	0.00647651	4.54702e-06	2.76872e-16	0.0105616	0.0615208	0.00742697	0.00640675	7.08249e-07	2.90693e-05
151	0.0110587	0.0577378	0.00754557	0.00686095	5.28468e-06	3.00402e-16	0.0111178	0.0648709	0.00770158	0.00698788	1.1551e-06	3.29058e-05
152	0.0137281	0.160744	0.00862014	0.00873907	2.38713e-05	2.80679e-16	0.0132695	0.141158	0.00840677	0.00874237	5.84249e-07	4.82368e-05
153	0.0140461	0.222945	0.00839453	0.00962093	8.525e-06	2.91287e-16	0.013758	0.247201	0.00774075	0.00995631	1.12973e-06	5.30783e-05
154	0.0163524	0.148905	0.0100439	0.010348	8.14915e-05	2.75598e-16	0.0151925	0.141363	0.00965953	0.0103543	5.61224e-07	6.04472e-05
155	0.0118329	0.0733065	0.00806681	0.00690737	1.20421e-05	2.85194e-16	0.0121413	0.104421	0.0086114	0.00742408	1.42789e-06	4.80988e-05
156	0.0156952	0.069345	0.0104559	0.00958526	2.58639e-05	2.97054e-16	0.0148707	0.0756917	0.0101794	0.00947786	9.60773e-07	5.38743e-05
157	0.0126026	0.0687842	0.00807614	0.00814958	2.1156e-05	2.8344e-16	0.01209	0.0585746	0.00781138	0.00813924	3.14547e-07	4.14853e-05
158	0.0133449	0.0682117	0.00914645	0.00818219	1.84088e-05	2.87954e-16	0.0130662	0.0677761	0.00918193	0.00828242	9.09876e-07	4.8996e-05
159	0.0109629	0.05947	0.00721191	0.00702529	6.09573e-06	2.77038e-16	0.0106085	0.050181	0.00739831	0.00668136	3.93159e-07	3.16324e-05
160	0.0198502	0.526416	0.0147447	0.0113464	0.000285772	2.81428e-16	0.021658	0.668621	0.014909	0.0144144	5.49632e-07	7.35662e-05
161	0.0133808	0.0852233	0.00857936	0.00877187	9.75928e-06	2.51038e-16	0.013798	0.0804915	0.00902219	0.00943814	6.29988e-07	4.28303e-05
162	0.0119895	0.0709126	0.00801738	0.00753505	8.96422e-06	2.9207e-16	0.0120152	0.080358	0.00837101	0.00753068	6.23664e-07	4.1867e-05
163	0.0183861	0.165557	0.0130865	0.0103335	0.000115894	2.85564e-16	0.0189809	0.155138	0.0122679	0.0119513	0.00017209	7.85167e-05
164	0.0122006	0.0589348	0.00795137	0.00795597	1.80132e-05	2.87375e-16	0.0114327	0.0412624	0.0074188	0.00787689	7.27133e-07	3.45054e-05
165	0.0188363	0.262925	0.0122784	0.011948	0.000109698	2.62484e-16	0.0797607	3.80961	0.0277894	0.0653444	0.0493796	0.000605646
166	0.0167409	0.242663	0.0128473	0.00904735	2.21949e-05	2.76303e-16	0.0158091	0.210107	0.0119827	0.00944223	7.89612e-06	4.46486e-05
167	0.0121127	0.0312938	0.00813559	0.00723724	1.1913e-05	2.97532e-16	0.012198	0.0352235	0.0086416	0.0072963	2.31739e-07	3.36388e-05
168	0.0269402	0.771743	0.019121	0.0153421	0.00156121	2.9032e-16	0.0266788	0.782627	0.0194566	0.0164074	1.13945e-05	0.000112044
169	8.48055	499.62	2.37582	7.81688	302.511	2.82026e-16	1855.64	109482	1855.6	10.3645	1786.66	0.0415571
170	0.0171912	0.120363	0.00939104	0.0121029	1.94751e-05	2.71134e-16	0.0183575	0.119302	0.0103137	0.0135059	9.16368e-07	5.26323e-05
171	0.0243633	0.308163	0.0168962	0.014235	0.000120372	2.58347e-16	0.0246701	0.396282	0.0178402	0.0150566	3.76172e-06	7.07603e-05
172	0.0149779	0.0650281	0.00948897	0.00978951	3.40659e-05	2.58229e-16	0.0148853	0.0626271	0.00967017	0.010038	1.29138e-06	4.60965e-05
173	0.023276	0.352668	0.0121003	0.0183236	2.28304e-05	2.9695e-16	0.0238655	0.357409	0.012039	0.0193391	1.82475e-06	4.81102e-05
174	0.0174002	0.138287	0.0114768	0.011135	1.78508e-05	2.84088e-16	0.0173171	0.1276	0.0109977	0.0120101	6.15301e-07	4.63726e-05
175	0.0196771	0.0711887	0.0115342	0.0136962	1.92571e-05	2.99922e-16	0.0191655	0.0658527	0.0121543	0.0129802	4.40431e-07	5.30157e-05
176	0.0157213	0.0513607	0.0101255	0.00978685	2.71978e-05	2.83214e-16	0.0149977	0.0605211	0.0102143	0.00974996	3.1178e-07	4.90805e-05
