FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRt_cost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRt_cost	rank3_rate
240	0.154439	0.098668	0.0867385	0.0155338	5.7567e-16	0.0470173	0.0314199	0.0312555	1.41424e-05	3.06145e-06	0.94
241	0.160227	0.103131	0.0899603	0.0159225	5.85094e-16	0.0596895	0.0396086	0.0395349	1.99666e-05	3.09674e-06	0.96
242	0.133475	0.0781399	0.0809964	0.0178589	6.06857e-16	0.0459009	0.0319159	0.0289127	1.38716e-05	2.22359e-06	0.94
243	0.204008	0.131283	0.124048	0.0200405	5.9311e-16	0.0508399	0.0340238	0.0335389	1.77029e-05	4.34557e-06	0.96
244	0.123727	0.0742553	0.0745398	0.0121533	5.85111e-16	0.04447	0.0288008	0.0300096	1.18828e-05	2.30029e-06	0.96
245	0.324228	0.196107	0.194847	0.0944825	5.86997e-16	0.0764131	0.0526597	0.0489412	1.87788e-05	7.24153e-06	0.88
246	0.14068	0.0907275	0.0786525	0.0167845	5.67919e-16	0.074716	0.0541993	0.0447229	2.63112e-05	2.1524e-06	0.9
247	0.253319	0.145828	0.144433	0.160644	6.08459e-16	0.05817	0.040745	0.0364994	1.99187e-05	3.74221e-06	0.9
248	0.0962355	0.0579498	0.0570595	0.00492521	5.99839e-16	0.0489153	0.0322907	0.0322546	1.67643e-05	1.58311e-06	0.96
249	0.25346	0.165014	0.137127	0.290307	5.67895e-16	0.0427697	0.0281106	0.0288083	1.59245e-05	5.47863e-06	0.94
250	0.249146	0.153232	0.153465	0.131109	5.87656e-16	0.0582171	0.0385836	0.0387876	1.8772e-05	4.41831e-06	0.94
251	0.127385	0.0806885	0.0767118	0.00629129	5.7006e-16	0.0582025	0.040208	0.0365346	1.78497e-05	1.90895e-06	0.96
252	0.195227	0.115762	0.113391	0.0240256	6.17565e-16	0.0493834	0.0328011	0.0326183	1.62139e-05	3.84401e-06	0.94
253	0.216004	0.134574	0.123009	0.0280779	5.82648e-16	0.0620351	0.0417522	0.0404737	1.94501e-05	3.98884e-06	0.84
254	0.879544	0.540863	0.549372	3.85388	5.95387e-16	0.063139	0.0431066	0.040954	2.32702e-05	1.64425e-05	0.88
255	0.192819	0.11376	0.116911	0.0450684	5.62683e-16	0.0567322	0.0371271	0.0388802	2.22365e-05	3.25444e-06	0.9
256	0.781429	0.499638	0.400308	2.66436	5.94069e-16	0.0618466	0.0424664	0.0395812	1.78591e-05	1.99116e-05	0.92
257	0.342341	0.201785	0.208424	0.156786	5.93458e-16	0.0617582	0.0410743	0.0409918	2.82708e-05	6.00273e-06	0.9
258	0.172373	0.10778	0.100679	0.0353642	5.96284e-16	0.0567633	0.0379788	0.0374818	1.91431e-05	2.99814e-06	0.96
259	0.189135	0.113077	0.109999	0.0400372	5.83543e-16	0.0746078	0.05283	0.0452827	1.81954e-05	3.92215e-06	0.92
260	0.224526	0.139	0.127853	0.0725691	5.99614e-16	0.0707162	0.0494378	0.0452314	2.45239e-05	4.39346e-06	0.84
261	0.107463	0.0667331	0.0628644	0.00583041	5.79274e-16	0.0468528	0.0303741	0.0314495	2.28472e-05	1.74989e-06	0.86
262	0.182421	0.114006	0.107391	0.0380536	5.88101e-16	0.064908	0.0458311	0.0401238	2.1105e-05	2.9159e-06	0.9
263	0.186123	0.106957	0.113365	0.0551145	5.77236e-16	0.0696921	0.0457975	0.0468943	2.57828e-05	2.76961e-06	0.92
264	0.1889	0.125131	0.109276	0.0460964	5.88378e-16	0.0652446	0.0453557	0.0405572	2.34322e-05	2.98471e-06	0.9
